Header in export,Discription,Code,Meaning
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA10     ,"MAMMO, BILAT, UP TO 8 FILMS                       "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1740,MG CT Breast w/wo Chemo Lt                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1738,MG CT Breast w/wo Chemo Rt                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA09     ,"MAMMO, UNILAT, UP TO 4 FILMS                      "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA15     ,BIL MAMMO SCREEN UP TO 8 FILMS                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1739,MG CT Breast w/wo Seed/Con Lt                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1737,MG CT Breast w/wo Seed/Con Rt                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",DMA15     ,BIL MAMMO SCREEN DIGITAL                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA14R    ,"UNI MAMMO SCREEN, RT, TO 4 FLM                    "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1741,MG CT Breast wo Seed/NC Lt                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1742,MG CT Breast wo Seed/NC Rt                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA14L    ,"UNI MAMMO SCREEN, LT, TO 4 FLM                    "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",DMA09L    ,"MAMMO, UNILAT,LT, DIGITAL                         "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",DMA14L    ,"UNI MAMMO SCREEN, LT, DIGITAL                     "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1683,MG No Outside Film Avail                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",DMA09R    ,"MAMMO, UNILAT,RT,DIGITAL                          "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1834,MG Consult for Eval/Manage w/Chg                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",DMA10     ,"MAMMO, BILAT, DIGITAL                             "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",698,MG Comp to Outside Film                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1682,MG Consultation Outside Film                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA09L    ,"MAMMO, UNILAT,LT,UP TO 4 FILMS                    "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",BMA09R    ,"MAMMO, UNILAT,RT,UP TO 4 FILMS                    "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2294,MG Breast Outside Image Consult                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2296,MG US Breast Outside Image Consult                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM24      ,RESEARCH MAMMO SCRN BIL DIGITL                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM02      ,MAMMO SCREENING BILATERAL                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2300,MRI Breast Outside Image Consult                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM21      ,RESEARCH MAMMO UNI DIGITAL                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM03      ,MAMMO DIAGNOSTIC UNILATERAL                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",679,MG Diagnostic Bilateral w/ CAD                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",682,MG Diagnostic Left w/CAD                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM04      ,MAMMO DIAGNOSTIC BILATERAL                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM23      ,RESEARCH MAMMO SCRN UNI DIGITL                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",684,MG Diagnostic Right w/CAD                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",678,MG Diagnostic Mammo Bilateral w/ CAD              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM22      ,RESEARCH MAMMO BIL DIGITAL                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MU06      ,U/S BILATERAL BREAST                              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",686,MG Diagnostic Mammo Left w/CAD                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",688,MG Diagnostic Mammo Right w/CAD                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MU07      ,U/S UNILATERAL BREAST                             
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM01      ,MAMMO SCREENING UNILATERAL                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",677,MG Diagnostic Mammo Bilateral                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",681,MG Diagnostic Left                                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM18      ,MAMMO W/COMPARISON TO OSF N/C                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM13      ,MAMMO SPECIMEN RADIOGRAPH                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",683,MG Diagnostic Right                               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM17      ,"TECH RECALL, FOLLOW-UP N/C                        "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2125,MG Diagnostic Bilateral w/Tomosynthesis           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2126,MG Diagnostic  Left w/Tomosynthesis               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM09      ,Mammo Stereo Bx W/vac W/clip                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MU03      ,U/S GUIDED CORE BIOPSY                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2127,MG Diagnostic  Right w/Tomosynthesis              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2170,MG Diagnostic Bilateral w/Tomo/CAD                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MU04      ,U/S GUIDED LOCALIZATION                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",AMR792    ,MRI BREAST UNI WITH & WITHOUT                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2171,MG Diagnostic  Left w/Tomo/CAD                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2172,MG Diagnostic  Right w/Tomo/CAD                   
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM14      ,MAMMO DIGITAL DIAG UNILATERAL                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM16      ,MAMMO DIGITAL SCREENING BIL                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",680,MG Diagnostic Mammo Bilateral                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",685,MG Diagnostic Mammo Left                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MME2      ,"MAMMO BILATERAL, CO.PHYSICAL                      "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",AMR89     ,MRI BREAST BILATERAL                              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",687,MG Diagnostic Mammo Right                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MU08      ,U/S CYST ASPIRATION BREAST                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",AMR79     ,MRI BREAST UNILATERAL WITH CON                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",699,MG Screening Bilateral                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",703,MG Screening Left                                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM05      ,MAMMO MAMMARY DUCT SINGLE                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SMA14     ,UNI MAMMO SCREEN UP TO 4 FILMS                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",700,MG Screening Bilateral w/CAD                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",701,MG Screening Bilateral                            
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM19      ,MAMMO CLIP PLACEMENT ONLY                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MU01      ,U/S GUIDED FNA                                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",702,MG Screening Bilateral w/CAD                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM08      ,MAMMO STEREO BX W/VAC ASSIST                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2122,MG Screening Bilat w/Tomosynthesis                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2153,MG Screen Bilat w/Tomo/CAD Stnd Protocol          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MU09      ,U/S CYST ASPIRATION EA ADDL                       
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MME1      ,"MAMMO UNILATERAL, CO.PHYSICAL                     "
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",704,MG Screening Left w/CAD                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM32      ,RESEARCH BIL STEREO DIG MAMMO                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2123,MG Screening Left w/Tomosynthesis                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2155,MG Screening Left w/Tomo/CAD                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",CMR792    ,MRI BREAST UNILATERAL W&WO                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MU05      ,U/S GUIDED LOC EACH ADDITIONAL                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",705,MG Screening Right                                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",706,MG Screening Right w/CAD                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM31      ,RESEARCH UNI STEREO DIG MAMMO                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM15      ,MAMMO DIGITAL DIAG BILATERAL                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2124,MG Screening Right w/Tomosynthesis                
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2154,MG Screening Right w/Tomo/CAD                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM11      ,MAMMO NEEDLE LOCALIZATION                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM25      ,O/S FILMS/CONSULT W/CHARGE                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",707,MG Screening Left                                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",708,MG Screening Left w/CAD                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM12      ,MAMMO NEEDLE LOC EA ADDL SITE                     
